trip_id,realtime_trip_id
9921045-125-C-Weekday-50,2961099
9921046-125-C-Weekday-50,2921062
9921047-125-C-Weekday-50-SDon-0011000,2863008
9921048-125-C-Weekday-50,1221047
9921049-125-C-Weekday-50-SDon-0011000,821002
9921050-125-C-Weekday-50,2921058
9921051-125-C-Weekday-50,1221071
9921052-125-C-Weekday-50,2961016
9921053-125-C-Weekday-50,2961013
9921054-125-C-Weekday-50,2961032
9921055-125-C-Weekday-50,2961029
9921056-125-C-Weekday-50,2961048
9921057-125-C-Weekday-50,2961045
9921058-125-C-Weekday-50,2961064
9921059-125-C-Weekday-50,2961061
9921060-125-C-Weekday-50,2961082
9921061-125-C-Weekday-50,1221070
9921062-125-C-Weekday-50,1221059
9921063-125-C-Weekday-50,2961017
9921064-125-C-Weekday-50,2961036
9921065-125-C-Weekday-50,2961033
9921066-125-C-Weekday-50,2961052
9921067-125-C-Weekday-50,2961049
9921068-125-C-Weekday-50,2961068
9921069-125-C-Weekday-50,1221058
9921070-125-C-Weekday-50-SDon,591002
9921071-125-C-Weekday-50,1221045
9921072-125-C-Weekday-50,1221042
9921073-125-C-Weekday-50,1221031
9921074-125-C-Weekday-50,1221030
9921075-125-C-Weekday-50-SDon-1110100,591003
9921076-125-C-Weekday-50,1221019
9921077-125-C-Weekday-50,1221018
9921078-125-C-Weekday-50,2961075
9921079-125-C-Weekday-50,2961096
9921080-125-C-Weekday-50,2961095
9921081-125-C-Weekday-50,1221005
9921082-125-C-Weekday-50,2921005
9921083-125-C-Weekday-50,2961113
9921084-125-C-Weekday-50,2921063
9921085-125-C-Weekday-50,2961115
9921086-125-C-Weekday-50,1221050
9921087-125-C-Weekday-50,2961117
9921088-125-C-Weekday-50,1221037
9921089-125-C-Weekday-50,2961119
9921090-125-C-Weekday-50,1221036
9921091-125-C-Weekday-50,1221025
9921092-125-C-Weekday-50,2961010
9921093-125-C-Weekday-50,2961005
9921094-125-C-Weekday-50,2961024
9921095-125-C-Weekday-50,1221024
9921096-125-C-Weekday-50,1221013
9921097-125-C-Weekday-50,2041002
9921098-125-C-Weekday-50,2921017
9921099-125-C-Weekday-50,1221010
9921100-125-C-Weekday-50,2921032
9921101-125-C-Weekday-50,2921039
9921102-125-C-Weekday-50,2921022
9921103-125-C-Weekday-50,2921056
9921104-125-C-Weekday-50,2041005
9921105-125-C-Weekday-50,2921031
9921106-125-C-Weekday-50,2921070
9921107-125-C-Weekday-50,2961008
9921108-125-C-Weekday-50,2961003
9921109-125-C-Weekday-50,2961022
9921110-125-C-Weekday-50,2921018
9921111-125-C-Weekday-50,2921049
9921112-125-C-Weekday-50,2921042
9921113-125-C-Weekday-50,2961065
9921114-125-C-Weekday-50,2961086
