trip_id,direction_id,Direction,realtime_directioncode
9914308-125-D-Weekday-50-SDon,1,West,561003
9914316-125-D-Weekday-50-SDon-1101100,0,North,551004
9914345-125-D-Weekday-50-SDon,1,West,251001
9914373-125-D-Weekday-50-SDon,0,East,851002
9914478-125-D-Weekday-50-SDon,0,East,491002
9914512-125-D-Weekday-50-SDon,0,East,811002
9916181-125-D-Weekday-50,1,Outbound,381005
9916182-125-D-Weekday-50,0,Inbound,381002
9916206-125-D-Saturday-50,1,South,3986005
9916207-125-D-Saturday-50,1,South,1106001
9916208-125-D-Saturday-50,0,North,1106002
9916213-125-D-Saturday-50,0,North,4006072
9916217-125-D-Saturday-50,1,South,4006007
9916223-125-D-Saturday-50,0,East,2816014
9916224-125-D-Saturday-50,1,West,2816015
9916257-125-D-Saturday-50,0,North,1126002
9916258-125-D-Saturday-50,1,South,1126001
9916283-125-D-Saturday-50,0,North,1206002
9916284-125-D-Saturday-50,1,South,1206003
9916411-125-D-Saturday-50,1,South,1216001
9916412-125-D-Saturday-50,0,North,1216004
9916429-125-D-Saturday-50,1,West,2946021
9916453-125-D-Saturday-50,0,North,1306002
9916456-125-D-Saturday-50,1,South,1306001
9916498-125-D-Saturday-50,0,North,3986006
9916557-125-D-Saturday-50,0,East,2946022
9916565-125-D-Saturday-50,0,East,1406002
9916566-125-D-Saturday-50,1,West,1406003
9916601-125-D-Saturday-50,1,West,1416001
9916604-125-D-Saturday-50,0,East,1416002
9916665-125-D-Saturday-50,1,West,2506001
9916666-125-D-Saturday-50,0,East,2506002
9916696-125-D-Saturday-50,0,East,2516002
9916697-125-D-Saturday-50,1,West,2516001
9916720-125-D-Saturday-50,1,West,2606002
9916721-125-D-Saturday-50,0,East,2606001
9916748-125-D-Saturday-50,1,South,2706001
9916749-125-D-Saturday-50,0,North,2706002
9916774-125-D-Saturday-50,0,East,2806002
9916777-125-D-Saturday-50,1,West,2806001
9916828-125-D-Saturday-50,0,East,2566014
9916831-125-D-Saturday-50,1,West,2566001
9917267-125-D-Saturday-50,0,Inbound,386006
9917269-125-D-Saturday-50,1,Outbound,386003
9917286-125-D-Sunday-50,1,West,2507001
9917296-125-D-Sunday-50,0,North,1307002
9917297-125-D-Sunday-50,1,West,1417001
9917343-125-D-Sunday-50,1,West,1407001
9917354-125-D-Sunday-50,0,North,1207002
9917359-125-D-Sunday-50,1,South,1127001
9917413-125-D-Sunday-50,1,South,1107001
9917423-125-D-Sunday-50,1,South,4007005
9917427-125-D-Sunday-50,1,South,1307001
9917495-125-D-Sunday-50,1,South,3987001
9917496-125-D-Sunday-50,0,East,1417002
9917534-125-D-Sunday-50,1,South,1207001
9917583-125-D-Sunday-50,0,East,2507002
9917593-125-D-Sunday-50,0,East,2947004
9917608-125-D-Sunday-50,1,West,2817001
9917629-125-D-Sunday-50,0,North,4007006
9917679-125-D-Sunday-50,0,East,2807002
9917680-125-D-Sunday-50,0,East,1407002
9917691-125-D-Sunday-50,1,South,1217001
9917704-125-D-Sunday-50,0,North,1107002
9917706-125-D-Sunday-50,0,North,1127002
9917725-125-D-Sunday-50,1,West,2807001
9917737-125-D-Sunday-50,0,North,3987002
9917755-125-D-Sunday-50,1,West,2947003
9917770-125-D-Sunday-50,0,East,2817002
9917801-125-D-Sunday-50,0,North,1217002
9918203-125-D-Sunday-50,0,Inbound,387005
9918204-125-D-Sunday-50,1,Outbound,387006
