trip_id,stop_id
9898121-125-A-Weekday-50,315608
9898121-125-A-Weekday-50,315003
9898121-125-A-Weekday-50,315035
9898121-125-A-Weekday-50,315033
9898121-125-A-Weekday-50,315617
9898121-125-A-Weekday-50,315614
9898121-125-A-Weekday-50,315040
9898121-125-A-Weekday-50,315609
9898121-125-A-Weekday-50,314012
9898121-125-A-Weekday-50,314002
9898121-125-A-Weekday-50,314901
9898121-125-A-Weekday-50,313011
9898121-125-A-Weekday-50,313604
9898121-125-A-Weekday-50,312009
9898121-125-A-Weekday-50,311106
9898122-125-A-Weekday-50,315608
9898122-125-A-Weekday-50,315467
9898122-125-A-Weekday-50,315003
9898122-125-A-Weekday-50,315035
9898122-125-A-Weekday-50,315033
9898122-125-A-Weekday-50,315617
9898122-125-A-Weekday-50,315614
9898122-125-A-Weekday-50,315040
9898122-125-A-Weekday-50,315609
9898122-125-A-Weekday-50,314012
9898122-125-A-Weekday-50,314002
9898122-125-A-Weekday-50,314901
9898122-125-A-Weekday-50,313011
9898122-125-A-Weekday-50,313604
9898122-125-A-Weekday-50,312009
9898122-125-A-Weekday-50,311106
9898123-125-A-Weekday-50,315608
9898123-125-A-Weekday-50,315003
9898123-125-A-Weekday-50,315035
9898123-125-A-Weekday-50,315033
9898123-125-A-Weekday-50,315617
9898123-125-A-Weekday-50,315614
9898123-125-A-Weekday-50,315040
9898123-125-A-Weekday-50,315609
9898123-125-A-Weekday-50,314012
9898123-125-A-Weekday-50,314002
9898123-125-A-Weekday-50,314901
9898123-125-A-Weekday-50,313011
9898123-125-A-Weekday-50,313604
9898123-125-A-Weekday-50,312009
9898123-125-A-Weekday-50,311106
9898124-125-A-Weekday-50,315614
9898124-125-A-Weekday-50,315040
9898124-125-A-Weekday-50,315609
9898124-125-A-Weekday-50,314012
9898124-125-A-Weekday-50,314002
9898124-125-A-Weekday-50,314901
9898124-125-A-Weekday-50,313011
9898124-125-A-Weekday-50,313604
9898124-125-A-Weekday-50,312009
9898124-125-A-Weekday-50,311106
9898125-125-A-Weekday-50,316005
9898125-125-A-Weekday-50,316903
9898125-125-A-Weekday-50,315608
9898125-125-A-Weekday-50,315003
9898125-125-A-Weekday-50,315035
9898125-125-A-Weekday-50,315033
9898125-125-A-Weekday-50,315617
9898125-125-A-Weekday-50,315614
9898125-125-A-Weekday-50,315040
9898125-125-A-Weekday-50,315609
9898125-125-A-Weekday-50,314012
9898125-125-A-Weekday-50,314002
